"id","region","is_global","type","common_name","scientific_name","cites","cites_other","extant_countries","status","warnings","habitat","basic_id_cues","consumer_advice","enforcement_advice","similar_animals","known_as","average_size_weight","first_responder","traded_as","common_trafficking","notes","keywords_tags","reference","disease_name","disease_risk_level","created_by","created_date","updated_by","updated_date"
"418","2","1","Bird","Red Lory","Eos bornea","Appendix II","","Indonesia","LC","","Tropical lowland forests, tropical mangrove forests","They have red plumage, all red upper body, blue around the eye with red irises, wing-coverts are tipped with black, shoulder and under tail feathers are blue, reddish brown tail, orange beak, gray legs.","DO NOT BUY Red Lorikeets. International trade or transport of Red Lorikeets is highly regulated. Many are smuggled for zoos and the pet trade. Do not support operators that fail to be transparent about the source of their animals. Report trade to trusted authorities.","INVESTIGATE. International trade is highly regulated. Examine all documents thoroughly and seek expert advice if necessary. National protections may also apply. Examine each case for further investigative leads.","Blue-eared Lorikeet, Black-winged Lorikeet, Red Lorikeet, Violet-necked Lorikeet, Blue-streaked Lorikeet, Chattering Lorikeet, Black-capped Lorikeet","Red Lorikeet","Length ~310mm Weight ~300g Wingspan ~17.5cm","Lorikeets don’t always get along with other birds in captivity; they can become very aggressive if they think their territory or perceived possessions are threatened. Keep isolated, where possible. Lorikeets can be kept in a cage covered by a cloth. Keep away from dogs, snakes, and other potential predators. ","Live animal for pet trade.","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets or pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders or pipes. Also transported in cages, usually covered, by boat or land vehicle.","Red Lory or Eos bornea is in general bright red; primary feathers are black with wide red speculum, teriary feathers and undertail coverts are blue. The expansion of the blue can vary between individual birds. The young, usually duller coloured and a brown colour beak, have a have more blue feathers that will later be replaced by red feathers during moulting. This is similar to Black-capped Lories. Female Red Lory is smaller in size. There are three subspecies of the Red Lory living in the wild.
Bernstein's Red Lories, Eos bornea bernsteini or Eos rubra bernsteini are found in the Kai or Kei Islands in the south-eastern part of Maluku Islands Indonesia.
Buru Red Lories, Eos bornea cyanonothus or Eos rubra cyanonothus are found in Buru Maluku Province.
Rothschild's Red Lories, Eos bornea rothschildi aka Eos rubra rothschildi are found in Seram Maluku Province","animal,feathers,2legs,red,small,wings,blue,black,tail,beak","","Psittacosis, Salmonella, Campylobacter, Newcastle Disease, Avian TB, Allergic Alveolitis, West Nile Virus, Avian Influenza, Mycobacterium, Aspergillus Fumigatus.","Medium","1","2014-07-10 02:25:52","4","2015-12-02 09:49:38"
"419","2","1","Product","Rhinoceros Horn","varies","Appendix I","","","NT","","","Black to dark brown in color, curved and sharp at tip, composed entirely of keratin. The horn is completely solid unlike similar looking bovine horns which are hollow. The horn might also be cut into small species or ground into a powder. Rhino horn can vary in color depending on habitat, range and diet.","DO NOT BUY Rhinoceros horn. Trade in Rhinoceros horn is highly unsustainable and rhino horn has no proven medicinal benefit. It is illegal to transport this product internationally for commercial uses and many national laws prohibit import. Trafficking in rhino horn is fueling rampant poaching throughout the rhino's range.","INVESTIGATE: All international commercial trade is illegal. Any documents purporting to allow such trade are unlawful. Examine each case and report to proper authorities.","","","varies","Avoid handling article unnecessarily. Ensure evidence is not contaminated for forensic use.
Wait for qualified law enforcement to handle the horn. DNA can be used to trace the origin.","Ornamental dagger handles, sold in powder form for traditional medicine, carved into ceremonial cups, buttons, belt buckles, hair pins, paperweights and as hunting trophies.","Smuggled in many different ways, often hidden in luggage and ornaments or disguised as legal tinctures or medicines. Smuggled out through the O.R. Tambo International Airport (Johannesburg International Airport), Cape Town, and Maputo. Sometimes transported to other African countries like Nigeria first and then shipped among timber or agricultural products to China. In other cases, mailed or shipped to Europe or North America and then flown to China. ","","product,jewelry,trophy,ornament,medicine,bone,horn,gray,powder,brown,black,white","","","","1","2014-07-14 01:16:55","4","2016-01-04 08:05:16"
"420","4","0","Mammal","Mongolian Saigan","Saiga tatarica","Appendix II","","Russia, Kazakhstan, Uzbekistan, Turkmenistan, Mongolia","CR","","Open, dry steppes and semi-desert grasslands. They prefer open areas.","A medium-sized antelope with an inflated nose which gives the Saiga Antelope its very distinctive appearance. Their color changes with the seasons; as it is a tan/pale brown color during the summer, and paler, almost white, during winter. Also, their coat is sparse in the summer, but becomes thicker in the winter. Mature males have translucent, slightly lyrate horns that are ringed in the lower half.","DO NOT BUY. Saiga Antelope, their parts or derivative products. International trade or transport of Saiga antelope, their parts and derived products is illegal. Most countries also strictly regulate Saiga Antelope trade and ownership. Saiga Antelope derived medicines have no proven medicinal benefits. Report trade to trusted authorities. ","INVESTIGATE. The international trade in Saiga antelope is highly regulated and requires a CITES permit. Examine all documentation and report.","Tibetan gazelle, bushbuck, and thinhorn sheep","Saiga Antelope, Saiga","Length ~110-145 cm  Weight ~20-50 kgs  Shoulder height ~ 60-80 cm","Avoid handling animal unnecessarily. Request expert veterinary assistance. Animal should be under mild sedative for safety, contain and do not approach until veterinarians or expert handlers arrive.
Keep away from dogs and cattle.","Length ~110-145 cm, Shoulder height ~ 60-80 cm, Weight ~20-50 kgs  ","Commonly traded as meat. Carcasses are smuggled in trucks or vehicles. ","","animal,fur,4legs,tan,white,medium,tail,brown,orange,","","Anthrax, Brucella, Campylobacteriosis, Pox virus, Rotavirus, Leptospirosis, Listeria, Pseudomonas, Q-fever, Sarcoptic Mange, Tuberculosis, Salmonella, Giardia","Medium","1","2014-07-14 01:22:39","4","2016-03-29 04:22:52"
"422","4","0","Reptile","Siamese Crocodile","Crocodylus siamensis","Appendix I","","Brunei","CR","Dangerous","Fresh-water wetlands throughout south-east Asia including swamps, rivers and lakes.","A reptile with a brownish-green body color. The tail and sides are yellowish with nearly black band and spots. Underbelly is a light-tan color. Yellow is much sharper in juveniles as are the black bands and spots.","DO NOT BUY Siamese Crocodiles for their hides or their products. The species is critically endangered . The international trade is regulated by CITES and illegal for wild specimens. While there has been success with captive breeding, the state of wild populations is alarming.","INVESTIGATE. No legal international trade of wild Siamese Crocodiles is permitted. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Examine each case for further investigative leads.","Philippine Crocodile, New Guinea Crocodile","Philippine Crocodile, New Guinea Crocodile","Length 4m Weight ~40-70kg","Avoid handling animal unnecessarily. Use caution, as the animal is extremely dangerous. Request expert veterinary assistance. Animal should be under mild sedative for safety, contain and do not approach until veterinarians or expert handlers arrive.","Hides used as leather, meat.","Commonly smuggled as eggs or juveniles hidden in many different ways. Originate in from large south east asian airports, usually using Bangkok (BKK) as a transit point to the final destination.","Species in caught in the wild are often passed off as being already domesticated, fuelling the illegal wildlife trade.","animal,skin,4legs,green,large,tail,gray,black,","","Bacterial infections: Aeromonas, Clostridium spp., Salmonella","Low","1","2014-07-14 01:34:28","4","2016-03-29 04:54:11"
"423","4","0","Mammal","Snow Leopard","Panthera uncia","Appendix I","","Central Asia, China, South Asia","EN","Dangerous","Alpine and sub-alpine forests throughout its range.","A medium sized cat white to grey in color with black spots and patterns. Long thick body hair with very thick fur on the underbelly. Front legs are shorter than hind legs. It has a very long and thick tail.","DO NOT BUY Snow leopards or their products. This species is considered endangered. International trade is illegal and many national protection laws exist.","INVESTIGATE. All international trade in snow leopards, their fur and meat is illegal. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Most countries require owners to hold a permit. Unscrupulous zoo, tour or breeding operations can be used in attempts to cover up illegal leopard trade. Examine each case for further investigative leads. Report.","","","(adult) Length ~200cm (head to tail tip) Weight: ~50kg
Females are smaller","Avoid handling animal unnecessarily. Request expert veterinary assistance. Biting and scratch risk, caution should always be used to avoid injury. Animal should be under mild sedative for safety, contain and do not approach until veterinarians or expert handlers arrive.","Trophies, Fur coat, meat, Skin, and bones (sold as substitutes for Tiger bones) for food trade and traditional medicines.","The common means of transportation for snow leopard skins and other body parts are moved by truck, car or trailer, boat (often frozen). Sedated cubs transported in suitcases by air and car. ","","animal,fur,4legs,gray,brown,black,small,medium,tail,white,large","","Campylobacter, Cat Scratch disease, Cryptosporidiosis, Hook worm, Leptospirosis, Yersinia pestis (Plague), Q fever, Rabies, Ringworm infection, Roundworm, Salmonella, tapeworms, Toxoplasmosis","Medium","1","2014-07-14 01:39:01","4","2016-03-29 04:58:25"
"424","4","0","Reptile","Southeastern Philippine Cobra","Naja samarensis","Appendix II","","","LC","Dangerous,Poisonous","Tropical moist forests, low-lying plains, dry forested regions, agricultural areas such as rice fields, pineapple plantations, coconut groves and rural villages","Medium length snake. Able to expand ribs into hood when threatened. Short snout with large nostrils. This snake has a  distinct bright yellow head. ","DO NOT Southeastern Philippine Cobras. This snakes is exploited for its meat, skin and is often used in Traditional Chinese Medicine or in wince. Also, the animal is extremely dangerous and poisonous.","INVESTIGATE. For this species all international trade is heavily regulated. National laws in certain countries exist. Ensure all documentation is genuine. Examine each case for further investigative leads. Report.","","Samar cobra, Peters' cobra","Length ~1m ","Avoid handling animal unnecessarily. This snake is extremely dangerous and poisonous. Contain and wait for expert handlers to arrive.","Hunted for its skin and its meat.","Often transported in sacks. Endangered snakes are often disguised as more common species. Also transported as juveniles and eggs.","","animal,scales,0legs,brown,yellow,medium,tail,black,orange,","","Bacterial infections: Salmonellosis, Aeromonas, Edwardsiella, campylobacter, pseudomonas, Mycobacterium ulcerans, E. coli","Low","1","2014-07-14 01:45:06","4","2016-03-29 05:00:04"
"425","4","0","Mammal","Southern Pig-tailed Macaque","Macaca nemestrina","Appendix II","","Brunei","VU","","Inhabits lowland primary and secondary forest, as well as coastal, swamp and montane forest.","A medium to large sized primate with a stout body and long legs . It has a short tail that resembles a pig's tail; giving this species its name. They have a brown coat with a lighter underside. The muzzle is long and are hair-less although adult males will have distinct mane-like hairs surrounding their face while adult females have large swellings on the rumps and are about half the size of males. ","DO NOT BUY Southern Pig-tailed Macaques or any derivative products. This species are threatened by loss of habitat. They are also frequently shot as crop pests and are also hunted for food.","INVESTIGATE. The international trade in this species is highly regulated and requires a valid CITES permit. Examine all papers carefully for authenticity. National protections in some countries also apply. Examine each case for further investigative leads. Report.","","Pigtail macaque, Sundaland pigtailed macaque, Pig-tail macaque, Sunda pig-tailed macaque","MALES Body Length ~75 cm Tail Length ~20 cm Weight ~12kg FEMALES Body Length ~50cm  Tail Length ~20 cm Weight ~7 Kg","Avoid handling animal unnecessarily. ALWAYS wear gloves and a mask when dealing with primates as there is high zoonotic disease risk. Request expert veterinary assistance. Make sure animal has access to rehydrant (water, sugar water, honey, pedialyte) to fight off initial dehydration. Infants and juvenile primates need milk, consult expert for dietary requirements. Take care that infants are kept warm.","Harvested for its meat","Commonly sedated and trafficked as juveniles  and hidden in boxes or luggage.","","animal,fur,4legs,light-brown,brown,gray,white,","","Giardia, Tuberculosis, Tularemia, Viral hemorrhagic fevers, hook worm, Malaria, monkey pox, yellow fever, cestodes (tape worms), campylobacter, pseudomonas, West Nile, Herpes (B virus), Measles, Influenza, salmonella, shigella, pneumonia, Hep A","High","1","2014-07-14 01:50:22","4","2016-03-29 05:00:31"
"426","3","0","Reptile","Spectacled Caiman","Caiman crocodilus ","Appendix I","","Central America, South America","NA","Dangerous","Fresh and saltwater habitats. Rivers, wetlands and swamps.","A medium sized crocodile ranging in color from a pale olive to almost black. They also have yellow or black cross bands and long snouts. Young specimens are yellowish with darker bands and spots.","DO NOT BUY Spectacled Caiman hides or any of their by-products. Although some regions have healthy populations and the trade is regulated, the difficulty in identifying different species makes trading of endangered species accessible.","INVESTIGATE. No legal international trade in the spectacled caiman is permitted. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Examine each case for further investigative leads. Report.","","Common Caiman, Brown caiman.","~Length 2m ~Weight ~40kg","Avoid handling animal unnecessarily. Severe danger from biting risk. Request expert veterinary assistance. Contain and do not approach until veterinarians or expert handlers arrive.","Hides for use as leather and meat.","Commonly smuggled as eggs or juveniles hidden in many different ways.","","animal,skin,4legs,green,large,tail,brown,black,gray","","Bacterial infections: Aeromonas, Clostridium spp., Salmonella","Low","1","2014-07-14 01:58:27","4","2016-03-29 05:00:59"
"427","1","0","Reptile","Spider Tortoise","Pyxis arachnoides","Appendix I","","Madagascar","CR","Nocturnal","Dry low-lying forests on the island of Madagascar where many shrubs are present.","Small tortoise with a dark colored spotted head. The shell (carapace) is dark green to black with yellow patterns resembling a spider web. The underbelly (plastron) is yellow with no markings. The limbs resemble the head being dark in color with yellow blotches.","DO NOT BUY  Spider tortoises. This species is considered critically endangered and is only found in Madagascar.","INVESTIGATE.For this species, all international trade in live animals, or body parts is illegal. This species is also protected under national law. Any papers purporting to allow such trade are false or unlawful. Examine each case for further investigative leads and report.","","","Length ~11cm carapace","Avoid handling animal unnecessarily. Handle with extreme care: egg yolks are easily broken in the female’s body during rough handling or transport. Egg-carrying females are characterized by a higher carapace, or upper shell. Specimens in trade can have their shells broken and be internally wounded. These are very difficult to save and require expert veterinary assessment, which may call for specialized care.During handling and shipment, they maybe deliberately fasted to avoid production of feces in the container and will not survive long without any food so it is essential these animals are placed in specialized veterinary care immediately. Ensure ventilation, but do not remove until a better holding environment can be found. Suspected captive bred or non-native specimens should not be released into the wild.","Mainly for the pet trade.","Shipped by truck, boat and air freight. Specimens are often transported in plastic sacks. Specimens can be transported live or their eggs. Often concealed on persons or in luggage. Counterfeit documents purporting the legal shipment are common.","","animal,shell,4legs,green,black,tiny,tail,yellow,orange,brown","","Bacterial infections: Salmonellosis, Edwardsiella, Campylobacteriosis","Low","1","2014-07-14 02:04:25","4","2016-03-29 05:02:54"
"428","4","0","Reptile","Spiny Terrapin","Heosemys spinosa","Appendix II","","Brunei","EN","","A semi-aquatic found in mountain streams in wooded forests.","A brown to red turtle with very distinct spines/spikes that run along the lower edge of the top shell (carapace) and a single line of spines which runs down the middle of the shell. The under shell (plastron) is lighter with dark patterned lines radiating on the scutes.","DO NOT BUY Spiny Terrapins or their products. This species is considered endangered and is exploited for the Asian food market trade. Spiny terrapins are restricted to small and isolated populations throughout much if its range.","INVESTIGATE. Spiny terrapins may only be traded/transported internationally with a valid CITES permit. Examine each case for further investigative leads. Report.","","Spiny turtle, Sunburts turtle","Length - Shell ~ 17-20cm Weight ~2kg","Avoid handling turtles until experts and veterinarians arrive. The spiny terrapin is semi-aquatic.  The egg yolks are easily broken in the female’s body (characterized by a higher carapace, or upper shell) during rough handling and transport, and can lead to mortality. During handling and shipment, they maybe deliberately fasted to avoid production of feces in the container and can stand only one week without any food.","Traded extensively for the pet trade and Asian food market.","Shipped by truck, boat and air freight. Specimens are often transported in plastic sacks. Specimens can be transported live or their eggs. Often concealed on persons or in luggage. ","","animal,shell,4legs,brown,red,small,tail,","","Bacterial infections: Salmonellosis, Aeromonasis, Campylobacteriosis,
Pseudomonas, Mycobacterium spp.","Low","1","2014-07-14 02:08:09","4","2016-03-29 05:05:56"
"429","1","0","Reptile","Standing's Day Gecko","Phelsuma standingi","Appendix II","","Madagascar","VU","Nocturnal","Dry forest and thorn forests.","A large gecko with distinctive banding which fades with age. Head and tail usually bright green or blue with the rest of the body a different brown. Underbelly is whitish.","DO NOT BUY Standing's day gecko. This species is considered vulnerable. This species is harvested extensively for the illegal pet trade and is threatened by its very small range.","INVESTIGATE. International trade in this species is heavily regulated. Examine all documents to ensure they are genuine. Examine each case for further investigative leads and proper documentation.","","Banded Day Gecko","Length ~30cm Weight 40~80g","Avoid handling animal unnecessarily. These animals are very sensitive to loud noises and stress and tend to jump when startled. They are highly mobile and will not feel secure unless all of their limbs are supported. If handling is absolutely necessary, do not exert any pressure on its back but rather allow the gecko to rest calmly in your hand gently grasping it. May exhibit ""tail dropping"" behavior when cornered, threatened or restrained.","Pet trade.","Lizards are commonly trafficked as eggs secreted on the person or as animals hidden in net sacks within luggage. ","","animal,skin,4legs,green,blue,small,tail,brown,yellow,","","Bacterial Infections: Salmonellosis, Aeromonas, Campylobacter, Pseudomonas","Low","1","2014-07-14 02:16:52","4","2016-03-29 05:05:03"
"430","4","0","Mammal","Sumatran Orangutan","Pongo abelii","Appendix I","","","CR","","Low lying evergreen forests, mangroves and swamps in Sumatra (Indonesia). This species is almost completely arborial.","A very large ape with very distinct long, red hair. Very long arms and short legs with hands that grasp. Cheeks of the males are wide and flat. Males are much larger than females. Sumatran orangutans can be distinguished from Bornean orangutans because they have longer hair and white fur on the beards.","DO NOT BUY Sumatran orangutans or their products and ensure that zoos that display this species take adequate care of them. This species is considered critically endangered.","INVESTIGATE. No legal international trade in Sumatran orangutans or their parts is permitted. Any papers purporting to allow such trade are false or unlawful. This species is also protected under Indonesian law. National protections in other countries may also apply. Examine each case for further investigative leads and report.","Bornean orangutan (Pongo pygmaeus)","","Length 1~1.8 m Weight 30~90 Kg ","Avoid handling animal unnecessarily. ALWAYS wear gloves and a mask when dealing with primates as there is high zoonotic disease risk. Request expert veterinary assistance. Make sure animal has access to rehydrant (water, sugar water, honey, pedialyte) to fight off initial dehydration. Infants and juvenile primates need milk, consult expert for dietary requirements. Take care that infants are kept warm.","Harvested for its meat and the pet trade.","Adults and juveniles many be transported in baskets","","animal,fur,4legs,red,medium,large,none,brown,orange,","Bệnh nhiễm kí sinh đơn bào đường ruột trên, bệnh lao, nhiễm khuẩn cấp tính do vi khuẩn francisella tularensis, sốt xuất huyết do virút, bệnh giun móc, sốt rét, bệnh đậu khỉ, bệnh sốt vàng, bệnh sán (sán dây), bệnh nhiễm khuẩn bệnh nhiễm khuẩn campylobacter, nhiễm trực khuẩn mủ xanh, Viêm não West Nile, Bệnh ecpet (virút B), sởi, cúm, khuẩn salmonella, nhiễm khuẩn shigella, viêm phổi, Viêm gan A
","Giardia, Tuberculosis, Tularemia, Viral hemorrhagic fevers, hook worm, Malaria, monkey pox, yellow fever, cestodes (tape worms), campylobacter, pseudomonas, West Nile, Herpes (B virus), Measles, Influenza, salmonella, shigella, pneumonia, Hep A","High","1","2014-07-14 02:26:06","4","2016-03-29 04:55:50"
"431","4","0","Mammal","Sumatran Rhinoceros","Dicerorhinus sumatrensis","Appendix I","","","CR","Dangerous","Lowland and highland secondary rainforest, swamps and cloud forests, hilly areas close to water, steep upper valleys with lots of undergrowth","Hairy hide, dark red-brown in color  and covered with patches of short, dark, stiff hair especially on its ears. This species has two horns ","DO NOT BUY. Sumatran Rhinoceros, their parts or derivative products. International trade or transport of Sumatran Rhinoceros, their parts and derived products is illegal. Most countries also strictly regulate Sumatran Rhinoceros trade and ownership. Sumatran Rhinoceros derived medicines have no proven medicinal benefits. Disreputable Sumatran Rhinoceros tourism operators have been linked to the trafficking, abuse and killing of Sumatran Rhinoceros. Do not support operators that fail to be transparent about the source of their animals. Report trade to trusted authorities.","INVESTIGATE. No legal international trade of Sumatran Rhinoceroses, their parts and products are permitted. Any papers purporting to allow such trade are false or unlawful. National protections may also apply. Examine each case for further investigative leads.    ","Black rhinoceros, javan rhinoceros, and white rhinoceros","Hairy rhinoceros, Asian two-horned rhinoceros","Length Head to tail tip  ~380cm Shoulder height ~150cm Front horn ~80cm second horn >10cm Weight ~950kg","Avoid handling unnecessarily. Beware as the animal is highly dangerous.  Wear gloves and a mask when handling the animal. Request expert veterinary assistance. Contain and do not approach until veterinarians or expert handlers arrive. Take a sample of the seizure including deceased articles and horn before following your agency protocol.","Horns as traditional medicine products and as ornamental dagger handle, skins and trophies, ","The horn is often smuggled in suitcases or in crates.","Sumatran Rhinoceros remain endangered in the wild. Hundreds of Sumatran Rhinoceros is all thats left living in the wild and some numbers in captivity. There are four subspecies recognized: The Western Sumatran Rhinoceros - Dicerorhinus sumatrensis sumatrensis; The Eastern Sumatran Rhinoceros - Dicerorhinus sumatrensis harrissoni or Borneo - Bornean Rhinoceros; India and Northern Bangladesh, Burma, The Northern Sumatran Rhinoceros - Dicerorhinus sumatrensis lasiotis ","animal,skin,gray,large,red,brown, black,tail","","Anthrax, Tuberculosis, Poxvirus infection, Salmonellosis","Low","1","2014-07-14 19:06:19","4","2016-03-29 05:06:50"
"432","4","0","Mammal","Sumatran Serow","Capricornis sumatraensis  ","Appendix I","","","VU","","Highlands (on Sumatra) Island, mountainous areas, forests near cliffs, near top of steep slopes, high densities of shrubs ","Small-bodied, dark upper parts, whitish underparts, long and coarse fur, long mane of white, brown or black on the neck, long and narrow pointed ears, bears large scent glands below the eyes, bushy tail Male and female are similar in appearance with both bearing stout, slightly curved horns. ","DO NOT BUY Sumatran Serow, their parts or derivative products. International trade or transport of Sumatran Serow, their parts and derived products is illegal. Most countries also strictly regulate Sumatran Serow trade and ownership. Serow are dangerous, costly and difficult to keep. They do not make appropriate pets. Serow derived medicines have no proven medicinal benefits. Disreputable Serow tourism operators have been linked to the trafficking, abuse and killing of Serow. Do not support operators that fail to be transparent about the source of their animals. Several thousand Serow are all that remain in the wild across the world. Report trade to trusted authorities.","INVESTIGATE. No legal international trade in Sumatran Serow, their meat or parts is permitted. Illegal trade in Sumatran Serow is widespread. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Most countries require owners to hold a permit. Breeding operations can be used in attempts to cover up illegal Sumatran Serow trade. Examine each case for further investigative leads.","Japanese Serow, Southwest China Serow, Red Serow, Sumatran Serow, Formosan Serow, Himalayan Serow","Southern Serow","","Avoid handling animal unnecessarily. Request expert veterinary assistance. Animals should be under mild sedative for safety. Contain and do not approach until veterinarians or expert handlers arrive. Serow's are known to be territorial and prefer to be alone or in small groups. Serow will make a loud whistle or a snort if they feel threatened.","Live individuals as pets, meat as food, body parts, frontal bones, horns, head, forelegs and rendering oil for medicine.","Decoy vehicles such as cars, trucks, or motorbikes in transporting shipments.","The Serow is a goat-antelope of the family Capricornis, with a goat-like body, Serows look like a cross between a goat and an antelope with short limbs and long donkey-like ears. Its habit of standing with its forelegs astraddle, hoofs widely splayed and head thrust downward, adds to its awkward appearance.  The taxonomy of Serow from different sources is not completely resolved. ","animal,fur,4legs,black,large,horns,gray,","","Anthrax, Brucellosis, Campylobacteriosis, Parapox Virus, Cryptosporidiosis, E. coli, Tularemia, Giardia, Leptospirosis, Salmonella, Plague","Medium","1","2014-07-14 19:09:41","4","2016-03-29 06:06:47"
"433","4","0","Mammal","Sunda Clouded Leopard","Neofelis diardi","Appendix I","","Brunei","VU","Dangerous","Tropical forests of Borneo and Sumatra.","A medium sized cat brown to grey in color. Very distinct black, cloud-shaped blotches/markings on the fur. The tail is very long (usually same length as body) and marked with black rings. This species is very similar to Neofelis nebulosa but can be distinguished by its darker fur and smaller ""cloud"" markings.","DO NOT BUY Sunda clouded leopards or their products. This species is considered endangered. International trade is illegal and many national protection laws exist.","INVESTIGATE. All international trade in Sunda clouded leopards, their fur and meat is illegal. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Most countries require owners to hold a permit. Unscrupulous zoo, tour or breeding operations can be used in attempts to cover up illegal leopard trade. Examine each case for further investigative leads. Report.","Clouded leopard","Enkuli clouded leopard, Diard's clouded leopard.","(adult) Length ~180cm (head to tail tip) Weight: ~20kg
*Females are smaller","Avoid handling animal unnecessarily. Request expert veterinary assistance. Biting and scratch risk, caution should always be used to avoid injury. Animal should be under mild sedative for safety, contain and do not approach until veterinarians or expert handlers arrive.","Trophies, Fur coat, meat, Skin, and bones (sold as substitutes for Tiger bones) for food trade and tradtional medicines.","The common means of transportation for clouded leopard skins and other body parts is by truck, car or trailer, boat (often frozen). Sedated cubs transported in suitcases by air and car. ","","animal,fur,4legs,gray,brown,black,small,medium,tail,white","","Campylobacter, Cat Scratch disease, Cryptosporidiosis, Hook worm, Leptospirosis, Yersinia pestis (Plague), Q fever, Rabies, Ringworm infection, Roundworm, Salmonella, tapeworms, Toxoplasmosis","Medium","1","2014-07-14 19:17:50","4","2016-03-29 05:02:02"
"434","4","0","Mammal","Greater Slow Loris ","Nycticebus coucang","Appendix I","","","VU","Nocturnal","Mostly on the edges of lowland tropical forests throughout its range. Slow lorises are arboreal creatures.","A small sized primate with thick light brown fur and a dark brown stripe that runs along the mid-line of the back. It has a rounded head with a short snout. They are known for their big circular eyes with brown patches around them which are separated by a streak of white fur that runs in between the eyes ending at the nose.","DO NOT BUY Sunda Slow Lorises or their products. This species is greatly threatened by the pet trade and will often get their teeth removed in order to prevent the owner from any injuries. This may lead to infection and a painful death. This species is also threatened by illegal use in traditional Chinese medicine and are sometimes killed as a crop pest.","INVESTIGATE. No legal trade in Sunda slow lorises is permitted. Any papers purporting to allow such trade are false or unlawful. This species is also protected by national laws in Indonesia, Malaysia and Thailand. Examine each case for further investigative leads. Report.","Loris spp.","Sunda Slow Loris","Length ~35cm Weight ~650g","Avoid handling animal unnecessarily. Serious bite risk from all loris species. Slow lorises can produce a poison that can affect humans when bitten. Contain and do not approach until veterinarians or expert handlers arrive.","For use in the pet trade and also in traditional Chinese medicine","Animals are often sedated and hidden within boxes or suitcases. Laos, Cambodia, and Thailand are the primary exporters of slow lorises, with Singapore and Malaysia also involved. The most noteworthy importers are Japan, the United States, and the European Union. One well-established trade route is from Thailand and Indonesia into Japan. ","","animal,fur,4legs,brown,small,none,tiny,gray,white,orange,","","Giardia, Tuberculosis, Tularemia, Viral hemorrhagic fevers, hook worm, Malaria, monkey pox, yellow fever, cestodes (tape worms), campylobacter, pseudomonas, West Nile, Herpes (B virus), Measles, Influenza, salmonella, shigella, pneumonia, Hep A","High","1","2014-07-14 19:22:03","4","2016-03-29 03:47:22"
"435","4","0","Reptile","Tokay Gecko","Gekko gecko","None","","India, Bangladesh, Papua New Guinea","NA","Nocturnal","Tropical forests, cliffs and trees. Also, throughout urban landscapes.","One of the largest geckoes with very distinct color patterns. Color is usually a blue-green with reddish-brown spots. Big, wide head with large mouth. Big brownish eyes with vertical slit pupils. Males are slightly bigger than females and more brightly colored.","DO NOT BUY tokay geckoes or their byproducts.","No current protections apply for this species. Report for record keeping.","","Tuko in the Philippenes, Tokkae in Malaysia, and Tokek in Indonesia","Length ~30cm Weight ~kg","Avoid handling animal unnecessarily. These animals are very sensitive to loud noises and stress and tend to jump when startled. They are highly mobile and will not feel secure unless all of their limbs are supported. If handling is absolutely necessary, do not exert any pressure on its back but rather allow the gecko to rest calmly in your hand gently grasping it. May exhibit ""tail dropping"" behavior when cornered, threatened or restrained.","Pet trade, meat and traditional Chinese medicine.","Lizards are commonly trafficked as eggs secreted on the person or as animals hidden in net sacks within luggage. ","","animal,skin,4legs,small,green,pink,tail,blue,orange,purple","","Bacterial Infections: Salmonellosis, Aeromonas, Campylobacter, Pseudomonas","Low","1","2014-07-14 19:31:33","4","2016-03-29 05:05:24"
